OriginTime,MinWait
16.786,1.25362
16.7941,1.25652
16.8018,1.25948
16.8101,1.26214
16.8183,1.26488
16.8261,1.2677
16.8337,1.27066
16.8414,1.27356
16.8494,1.27633
16.8578,1.27923
16.8664,1.28211
16.8748,1.28497
16.8827,1.28787
16.8913,1.29065
16.8998,1.29364
16.9077,1.29656
16.9163,1.29948
16.925,1.30239
16.9335,1.30521
16.9425,1.30816
16.9511,1.31118
16.9599,1.3143
16.9688,1.31728
16.9775,1.32034
16.9861,1.32341
16.9949,1.32629
17.0028,1.32924
17.0112,1.3325
17.0198,1.33568
17.029,1.33893
17.0379,1.34217
17.0472,1.34541
17.0563,1.34842
17.0651,1.35155
17.0745,1.35477
17.084,1.3579
17.0933,1.36095
17.1026,1.36432
17.1118,1.3674
17.1218,1.37063
17.131,1.37395
17.1404,1.37726
17.1498,1.38064
17.16,1.38407
17.1698,1.38741
17.1798,1.39093
17.1891,1.39439
17.1994,1.39786
17.2092,1.40125
17.2192,1.40457
17.2293,1.408
17.2393,1.41142
17.2496,1.41512
17.2601,1.41857
17.2701,1.42223
17.2806,1.42598
17.2913,1.42969
17.3021,1.43326
17.3127,1.43696
17.3239,1.44061
17.3339,1.44416
17.3443,1.44803
17.3558,1.45181
17.367,1.45581
17.3778,1.45971
17.3897,1.46365
17.4004,1.4677
17.4119,1.47156
17.4234,1.47556
17.4349,1.47958
17.4455,1.48372
17.4575,1.4878
17.4695,1.49189
17.4808,1.49627
17.4923,1.50043
17.5039,1.505
17.5152,1.50919
17.5272,1.51332
17.5395,1.51768
17.5516,1.52186
17.5638,1.52616
17.5762,1.53042
17.5885,1.53481
17.601,1.5397
17.6128,1.5443
17.6257,1.54895
17.6386,1.55358
17.6514,1.55839
17.664,1.56291
17.6775,1.56786
17.6917,1.57259
17.7045,1.57723
17.7187,1.58199
17.7324,1.58709
17.7457,1.59204
17.7587,1.597
17.7732,1.60169
17.7871,1.60626
17.8012,1.61125
17.8152,1.6162
17.8286,1.62127
17.8434,1.62628
17.858,1.63142
17.8736,1.63639
17.8887,1.642
17.9032,1.64714
17.9179,1.65198
17.9335,1.65724
17.9491,1.66289
17.9648,1.66833
17.981,1.6737
17.9965,1.67899
18.0131,1.68435
18.0291,1.6898
18.0448,1.69536
18.0601,1.7008
