X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty,Volume
0.99846,0.143869,0.326485,0.04701,0.105283,0.0761465,0,0,1,0
0.77217,0.1372,0.59097,0.047143,0.094953,0.071048,0,0,1,0
0.943012,0.646151,0.197275,0.0473594,0.0954896,0.0714245,0,0,1,0
0.751782,0.290037,0.619488,0.0473874,0.123375,0.085381,0,0,1,0
0.0977916,0.718485,0.214113,0.0475471,0.124358,0.0859528,0,0,1,0
0.964351,0.366999,0.780073,0.0475551,0.123789,0.0856722,0,0,0.99,0
0.033055,0.897925,0.780914,0.0475556,0.0880558,0.0678057,0,0,1,0
0.67601,0.705577,0.711781,0.0476626,0.117849,0.0827558,0,0,1,0
0.230744,0.480031,0.749844,0.0477652,0.143723,0.0957439,0,0,1,0
0.143687,0.261307,0.707338,0.0479653,0.103681,0.0758232,0,0,1,0
0.526665,0.936501,0.364723,0.0480035,0.0908504,0.0694269,0,0,1,0
0.597587,0.136951,0.447032,0.0481535,0.107066,0.0776099,0,0,1,0
0.299204,0.473487,0.668474,0.0482478,0.12807,0.0881589,0,0,1,0
0.171435,0.842354,0.202897,0.048651,0.102053,0.0753518,0,0,1,0
0.940442,0.394224,0.0477534,0.0486956,0.110982,0.079839,0,0,1,0
0.0704863,0.256555,0.734164,0.0487189,0.0933274,0.0710231,0,0,1,0
0.204491,0.36322,0.537451,0.0487658,0.107085,0.0779255,0,0,1,0
0.56728,0.133379,0.23949,0.0487949,0.0846322,0.0667136,0,0,1,0
0.2242,0.303237,0.193127,0.0488231,0.0868806,0.0678519,0,0,1,0
0.113091,0.680604,0.568836,0.0488352,0.135239,0.0920369,0,0,1,0
0.386473,0.432152,0.311446,0.0488405,0.13786,0.0933502,0,0,1,0
0.80619,0.588414,0.903087,0.0489078,0.121492,0.0851999,0,0,1,0
0.0961098,0.0479538,0.518582,0.0489143,0.109642,0.0792781,0,0,1,0
0.263149,0.120273,0.615769,0.0489642,0.119999,0.0844819,0,0,1,0
0.523707,0.499924,0.0813343,0.0490174,0.121597,0.0853074,0,0,1,0
0.790287,0.154062,0.552362,0.0490927,0.0845257,0.0668092,0,0,1,0
0.721689,0.503715,0.959642,0.0491151,0.110149,0.0796322,0,0,1,0
0.114632,0.724347,0.850798,0.0491265,0.102739,0.0759328,0,0,0.99,0
0.814753,0.28897,0.775324,0.0492142,0.154671,0.101943,0,0,1,0
0.944725,0.0903963,0.121566,0.0492308,0.123011,0.086121,0,0,1,0
0.773849,0.477168,0.390197,0.0493324,0.155459,0.102396,0,0,1,0
